,,,,,
DAFTAR CALON TETAP,,,,,
ANGGOTA DEWAN PERWAKILAN RAKYAT DAERAH D.I. YOGYAKARTA PEMILIHAN UMUM TAHUN 2014,,,,,
PROVINSI : D.I. YOGYAKARTA,,,,,
DAERAH PEMILIHAN : D.I. YOGYAKARTA 1,,,,,
MODEL BD 1,,,,,
"1
PARTAI NASDEM
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"Drs. AULIA REZA BASTIAN,
M. Hum.",L,KOTA YOGYAKARTA
2,,,"Dra. ERNI FEBRUARIA, M. Si.",P,SLEMAN
3,,,"Drs. WIBISONO JOKO HARTONO, MBA.",L,KOTA YOGYAKARTA
4,,,Dra. YULIANI,P,KOTA YOGYAKARTA
5,,,H. MUHAMMAD BS.,L,KOTA YOGYAKARTA
6,,,"MUHAMMAD HARYO SUBODRO, BSc.",L,KOTA YOGYAKARTA
7,,,"HENI NURVITA, S.P., M.M.",P,KOTA YOGYAKARTA
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 3 PROSENTASE PEREMPUAN: 42,9%",,,,,
"2
PARTAI KEBANGKITAN BANGSA
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"JONI SUHERMAN, S.H.I.",L,TASIKMALAYA
2,,,YUNIANTO BUDI SETIAWAN,L,KOTA YOGYAKARTA
3,,,"Dra. Hj. ATIE SURATI, M.M.",P,KOTA YOGYAKARTA
4,,,Drs. ABDUL KHALIM,L,KOTA YOGYAKARTA
5,,,SUGENG NUGRAINI,P,KOTA YOGYAKARTA
6,,,MOCH. ARIF WIDODO,L,KULONPROGO
7,,,MARWATI,P,SLEMAN
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 3 PROSENTASE PEREMPUAN: 42,9%",,,,,
"3
PARTAI KEADILAN SEJAHTERA
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
1,,,"H. MUHAMMAD ZUHRIF HUDAYA, S.T.",L,KOTA YOGYAKARTA
2,,,"Ir. EKA YAWARA, M.T.",L,KOTA YOGYAKARTA
3,,,"WAHYU TUSI WARDANI, S.Si., Apt.",P,KOTA YOGYAKARTA
4,,,TRIYONO HARI KUNCORO,L,KOTA YOGYAKARTA
5,,,"DWI ESTININGSIH, S.Psi.,
M.Psi.",P,KOTA YOGYAKARTA
6,,,ANIESA NORMA DANTIE,P,BANTUL
7,,,"ARIADI, S. Ag.",L,KOTA YOGYAKARTA
"JUMLAH LAKI-LAKI: 4 JUMLAH PEREMPUAN: 3 PROSENTASE PEREMPUAN: 42,9%",,,,,
"4
PARTAI DEMOKRASI INDONESIA PERJUANGAN
",,,,,
NOMOR URUT,PAS FOTO,,NAMA LENGKAP,JENIS KELAMIN (L/P),KABUPATEN/KOTA (TEMPAT TINGGAL BAKAL CALON)
